Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,sentiment_score,sentiment_category
1,YouTube,@5-minutefails,https://www.youtube.com/watch?v=qVhAzSwJF-U,"Please help me answer, why are babies so cute? Hope my videos will help you relax and have fun every day 💛💛💛💛",,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",please help answer babies cute hope videos help relax fun every day,0.9571,Positive
2,YouTube,@GulayimTahltemirova,https://www.youtube.com/watch?v=qVhAzSwJF-U,Гулойим угай иплос😢😢😢,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",гулойим угай иплос,0.0,Neutral
3,YouTube,@Technically1970,https://www.youtube.com/watch?v=qVhAzSwJF-U,"Baby fall <a href=""https://www.youtube.com/watch?v=qVhAzSwJF-U&amp;t=1"">0:01</a>",,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",baby fall href,0.0,Neutral
4,YouTube,@DarisGaland,https://www.youtube.com/watch?v=qVhAzSwJF-U,Padahal udah Nyiapin berapa🎉❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",padahal udah nyiapin berapa,0.0,Neutral
5,YouTube,@AyshaAlhassan44,https://www.youtube.com/watch?v=qVhAzSwJF-U,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
6,YouTube,@ruelmahumot1460,https://www.youtube.com/watch?v=qVhAzSwJF-U,"My brother brought me here, because he&#39;s crying right now but this video makes him happy and forget that his crying",,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",brother brought 39 crying right video makes happy forget crying,-0.5267,Negative
7,YouTube,@JamesStreet-tp1vb,https://www.youtube.com/watch?v=qVhAzSwJF-U,"You have to click on &quot;comments should always be respectful&quot; and &quot;got it&quot; to post a comment here. IOW &quot;dont say anything that might offend me&quot; is what you&#39;re saying. Jesus Christ.<br><br>We&#39;ve survived dozens of plagues, decades of tyrannical oppression, thousands of natural disasters, 2 world wars and hundreds of other wars, but todays snowflakes can&#39;t survive an offensive comment without therapy. <br><br>Was that offensive? Let me check my &quot;giveashitometer.&quot; Hmmm. Nope. Nothing",,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",click quot comments always respectful quot quot got quot post comment iow quot dont say anything might offend quot 39 saying jesus christ br br 39 survived dozens plagues decades tyrannical oppression thousands natural disasters 2 world wars hundreds wars todays snowflakes 39 survive offensive comment without therapy br br offensive let check quot giveashitometer quot hmmm nope nothing,-0.8807,Negative
8,YouTube,@Rishabh_RR,https://www.youtube.com/watch?v=qVhAzSwJF-U,Very beautiful ❤️❤️❤️😅😅,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",beautiful,0.5994,Positive
9,YouTube,@yurikowatanabe5508,https://www.youtube.com/watch?v=qVhAzSwJF-U,どれもこれも幸せな笑顔と声ですね。懐かしい子育ての時を思い出しました。尊い時間です。集めてくださって有り難うございます❤❤❤❤❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",どれもこれも幸せな笑顔と声ですね 懐かしい子育ての時を思い出しました 尊い時間です 集めてくださって有り難うございます,0.0,Neutral
10,YouTube,@MatthewLiggins-b7g,https://www.youtube.com/watch?v=qVhAzSwJF-U,😂😂😂😂😂😂😅😅😅😅😅,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
11,YouTube,@st64838709,https://www.youtube.com/watch?v=qVhAzSwJF-U,女人男人愛你❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",女人男人愛你,0.0,Neutral
