Count,Username,Post URL,Caption,Post Date,Likes,Comments
1,gtuedutr,https://www.instagram.com/p/DAvWAN1CEUF/,Rektörümüz Prof. Dr. Hacı Ali MANTAR Şampiyonlar Ligi çadırında bulunan masamıza ziyarette bulundu. Kendisine ve okulumuza destekleri için çok teşekkür ediyoruz.,2024-10-05 10:51:16,,
2,gtuedutr,https://www.instagram.com/p/DAtov91N7oC/,"🎉 Koza Fest'24’te Eğlence Dolu Anlar! 🎉 Üniversitemiz bünyesindeki öğrenci toplulukları tarafından düzenlenen Koza Fest'24 etkinliğinde, öğrencilerimiz unutulmaz anlar yaşadı. 🌟 Rektör Yardımcılarımız Prof. Dr. Mahmut Durmuş ve Prof. Dr. Damla Arısan ile Genel Sekreterimiz Nadir Yıldırım, SKS Daire Başkanı Bülent Çetin, KAGEM Müdürü Prof.Dr. Mustafa Türkmen öğrencilerimizin coşkusuna ortak oldular. 👏 İdari personelimizin organizasyonuyla öğrencilere çeşitli ikramlar da sunuldu. 🎊   #GTÜ #GebzeTech #GebzeTechnicalUniversity #KozaFest #KozaFest24 #GTÜEtkinlik #GTÜTopluluklar #ÖğrenciKulüpleri #StudentClubs #KampüsHayatı #CampusLife #ÜniversiteHayatı #UniversityLife #Rektörlük #FunAndExcitement #StudentLife #Etkinlik #Event #Coşku #İkramlar #Gelecekİçin #ForTheFuture #gebzetekniküniversitesi",2024-10-04 18:56:36,,
3,gtuedutr,https://www.instagram.com/p/DAndMfZNBD9/,GTÜ'de EYLÜL   #GebzeTeknikÜniversitesi,2024-10-02 09:23:10,,
4,gtuedutr,https://www.instagram.com/p/DAk7KCMNlee/,Gebze Teknik Üniversitesi Kadın Voleybol Takımı Güz Dönemi Seçmeleri Başlıyor 🤩  7 Ekim Pazartesi günü saat 18.00'da Gebze Teknik Üniversitesi Spor Salonunda gerçekleştirilecek olan seçmelere katılarak takımımızın bir parçası olabilirsiniz. 🏐✨  ❗️Seçmelerde yerini almak için bio'daki formu doldurmayı unutma.,2024-10-01 09:44:16,,
5,gtuedutr,https://www.instagram.com/p/DAk7FButGUP/,Gebze Teknik Üniversitesi Erkek Voleybol Takımı Güz Dönemi Seçmeleri Başlıyor 🤩  7 Ekim Pazartesi günü saat 19.30'da Gebze Teknik Üniversitesi Spor Salonunda gerçekleştirilecek olan seçmelere katılarak takımımızın bir parçası olabilirsiniz. 🏐✨  ❗️Seçmelerde yerini almak için bio'daki formu doldurmayı unutma.,2024-10-01 09:43:35,,
6,gtuedutr,https://www.instagram.com/p/DAkyunZt8DW/,"🤝 GTÜ ve Özbekistan Akademik İş Birliği  III. Türkiye-Özbekistan Eğitim Forumu'na katılan GTÜ Rektörü Prof. Dr. Hacı Ali Mantar, akademik iş birliği kapsamında Taşkent Devlet Teknik Üniversitesi, Namangan Mühendislik Teknolojileri Enstitüsü, Namangan Tekstil Sanayi Enstitüsü ve Fergana Politeknik Enstitüsü ile araştırma-geliştirme, ortak proje çalışmaları, konferans düzenlemeleri ve teknoloji enstitüleri ile ortak programlar oluşturulması konusunda İyi Niyet Anlaşması imzaladı. Ayrıca, lisansüstü öğrencilerimizin karşılıklı Ar-Ge ve eğitim alanında değişimi de bu iş birliğinin önemli bir parçası olacak.  🎊🔬🧪🇺🇿🇹🇷  🤝 GTÜ and Uzbekistan Academic Collaboration  GTÜ Rector Prof. Dr. Hacı Ali Mantar participated in the 3rd Turkey-Uzbekistan Education Forum and signed a Memorandum of Understanding (MoU) with Tashkent State Technical University, Namangan Institute of Engineering Technologies, Namangan Institute of Textile Industry, and Fergana Polytechnic Institute for joint research, collaborative projects, organizing conferences, and developing joint programs with technology institutes. Additionally, this partnership will include the exchange of graduate students in the fields of R&D and education.  🎊🔬🧪🇺🇿🇹🇷  #GTÜ #GebzeTech #GebzeTechnicalUniversity #Özbekistan #Uzbekistan #EğitimForumu #EducationForum #AkademikİşBirliği #AcademicCollaboration #ArGe #ResearchAndDevelopment #LisansüstüEğitim #GraduateStudies #TeknolojiEnstitüleri #TechnologyInstitutes #ÜniversiteHayatı #UniversityLife #UluslararasıİşBirliği #InternationalCollaboration #OrtakProjeler #JointProjects #Bilim #Science #gebzetekniküniversitesi",2024-10-01 08:30:37,,
7,gtuedutr,https://www.instagram.com/p/DAjJezTNOdQ/,"GTÜ bu dönemi KOZA FEST'le karşılıyor 🎉  Bu yıl ilkini düzenleyeceğimiz Koza Fest için öğrenci kulüpleri olarak rektörlük desteğiyle kolları sıvadık. Müzik, yarışma ve eğlence dolu bir gün için 4 Ekim Cuma günü Şenlik Alanı’nda buluşalım🙃✨  🗓 4 Ekim 2024 Cuma  🕒17.00-23.00",2024-09-30 17:10:58,,
8,gtuedutr,https://www.instagram.com/p/DAixgCmNB4r/,"Üniversitemiz ev sahipliğinde, Kongre ve Kültür Merkezi’nde, 7-8-9 Kasım 2024 tarihlerinde üçüncüsü gerçekleştirilecek İŞTE İŞİN ‘24 fuarına hepiniz davetlisiniz.",2024-09-30 13:41:25,,
9,gtuedutr,https://www.instagram.com/p/DAik61HoeIq/,"Prof. Muhammad Ali Imran (Dean of Graduate Studies and Transnational Education) and Prof. Qammer Abbasi from University of Glasgow visited Gebze Technical University on 24th September. The guests discussed various avenues of collaborations between the universities with particular emphasis on joint/dual degree programs at both undergraduate and graduate level. ------------------------------------------- Glasgow Üniversitesi'nden Prof. Muhammad Ali Imran (Lisansüstü Eğitim ve Uluslararası Eğitim Dekanı) ve Prof. Qammer Abbasi, 24 Eylül’de Gebze Teknik Üniversitesi'ni ziyaret etti. Ziyaret, özellikle lisans ve lisansüstü düzeyde ortak/çift diploma programlarına odaklanarak iki üniversite arasındaki iş birliği fırsatlarının değerlendirilmesi üzerine gerçekleşti. ------------------------------------------- تشرف الأستاذ الدكتور محمد علي عمران (عميد الدراسات العليا والتعليم الدولي) و_الأستاذ الدكتور قمر عباسي_ من جامعة غلاسكو بزيارة جامعة جبزة التقنية في 24 سبتمبر. وقد تم خلال هذه الزيارة مناقشة آفاق التعاون بين الجامعتين، مع التركيز بشكل خاص على برامج الدرجات المشتركة والمزدوجة على مستوى البكالوريوس والدراسات العليا.",2024-09-30 11:51:29,,
10,gtuedutr,https://www.instagram.com/p/DAiLr2wIlo2/,"🤝 Paydaşlarından olduğumuz İMES OSB tarafından 26-27 Eylül tarihlerinde düzenlenen İMES Kariyer Günleri fuarına, GTÜ Kariyer Geliştirme Merkezi (KAGEM) ve öğrencilerimiz ile katılım sağladık. 👩‍💼👨‍💼👏 Geleceğin profesyonelleri ile iş dünyasını bir araya getiren bu önemli etkinlikte, öğrencilerimizin kariyer yolculuklarına destek olduk. 🌟  🤝 We participated in the IMES Career Days fair, organized by IMES Organized Industrial Zone (OSB) on September 26-27, with GTÜ Career Development Center (KAGEM) and our students. 👩‍💼👨‍💼👏 At this important event bringing future professionals together with the business world, we supported our students on their career journeys. 🌟  #GTÜ #GebzeTech #GebzeTechnicalUniversity #KAGEM #İMESOSB #KariyerGünleri #CareerDays #GTÜKariyer #ÜniversiteHayatı #UniversityLife #İşDünyası #BusinessWorld #KariyerGelişimi #CareerDevelopment #Networking #ÖğrenciBaşarısı #StudentSuccess #Gelecekİçin #ForTheFuture #KariyerFuarı #CareerFair #gebzetekniküniversitesi",2024-09-30 08:10:59,,
