Tweet Count,Username,Text,Created At,Retweets,Likes
3,enes,twitterda etkileşim alsın diye özellikle mi yaptınız bu açıklamayı,Tue Oct 01 19:47:44 +0000 2024,0,1
Tweet Count,Username,Text,Created At,Retweets,Likes
1,ibrahim Haskoloğlu,Ruh hastası olduğu ortaya çıkan Semih Çelik isimli şahsın öldürdüğü 19 yaşındaki diğer kızın (Ayşenur Halil) fotoğrafı: https://t.co/Rbh7uTon1n,Sat Oct 05 16:09:30 +0000 2024,29,556
Tweet Count,Username,Text,Created At,Retweets,Likes
2,ibrahim Haskoloğlu,"19 yaşındaki İkbal’i katleden Semih Çelik’in geçtiğimiz yıl çektiği video ortaya çıktı. 

Videoda kızı uzun süre rahatsız ettiğini ve öldürmeye çalıştığını itiraf ediyor. 

Ailesine yakın kişiler de bunu belirtmişti. Katliam göz göre göre gelmiş. 

 https://t.co/u9foDxSdNl",Sat Oct 05 11:26:14 +0000 2024,1521,13656
Tweet Count,Username,Text,Created At,Retweets,Likes
3,ibrahim Haskoloğlu,"Ülkenin anasının ağladığı yerde muhalefet lideri belediye ziyareti yapıyor, selfi paylaşıyor.. 

Bu ülkeyi bu hale getirenleri paylaşmaya çok paylaştım ama bunların da farkı yok.

İnsan utanır şu fotoğrafı paylaşırken. https://t.co/JQsIEXEbnc",Fri Oct 04 17:02:58 +0000 2024,3231,30111
Tweet Count,Username,Text,Created At,Retweets,Likes
4,ibrahim Haskoloğlu,"Semih Çelik isimli şahsın, kafasını ve bağırsaklarını kesip ikiye bölerek öldürdüğü kızın adı İkbal Uzuner.

İkbal Uzuner 19 yaşındaydı.

Onu öldüren şahıs Semih Çelik de 19 yaşında. https://t.co/BYhHxZOAMf",Fri Oct 04 15:53:33 +0000 2024,1558,17260
Tweet Count,Username,Text,Created At,Retweets,Likes
5,ibrahim Haskoloğlu,"Kızının kafası kesilerek  öldürülen İkbal’in annesinin feryadı:

Bunları görmek istemiyor olabilirsiniz ben de istemiyorum ama sokaklar bunlarla dolu. 

 https://t.co/o2CGmcOGEc",Fri Oct 04 16:56:47 +0000 2024,2356,22890
Tweet Count,Username,Text,Created At,Retweets,Likes
6,ibrahim Haskoloğlu,"Kadın cinayetlerini, tecavüzlerini öven bu şahıslar hakkında beklenen nedir? @EmniyetGM 

İki şahsın da gerçek kimliği tespit edildi ancak bu sapkınlıklara hiçbir yaptırım yok. 

Bu pislikleri takip edenler de en az bunlar kadar aşağılıktır. Bunları takip etmeyin. https://t.co/B7a4lKqIl7",Sat Oct 05 09:47:20 +0000 2024,625,5040
Tweet Count,Username,Text,Created At,Retweets,Likes
7,ibrahim Haskoloğlu,"İstanbul’da kendi halinde yürüyen genç kız sokak ortasında tacize uğradı. 

Bunlar bu cesareti Hukukun caydırıcılığının bitmesinden alıyor. 

 https://t.co/8zmYgWFXiy",Fri Oct 04 07:54:44 +0000 2024,3945,27680
Tweet Count,Username,Text,Created At,Retweets,Likes
8,ibrahim Haskoloğlu,"Türkiye'de bir gangster akımı var ve bunların yaşlarının çoğu 20'yi geçmiyor. 

10 yaşındaki çocuklar bile bu şekilde yetiştiriliyor. Hatta yetinmiyorlar bu durumlarını Instagram'dan paylaşıyorlar.

Onlardan bir örneğini sizlerle paylaşıyorum.

10 yaşlarında bir çocuk, babası https://t.co/oK9WvnGsjQ",Mon Sep 30 11:05:50 +0000 2024,2707,16999
Tweet Count,Username,Text,Created At,Retweets,Likes
9,ibrahim Haskoloğlu,🔴#SONDAKİKA | Sosyal medyada 2 sapığın serbest bırakılmasına tepki gösterilmesi nedeniyle şahıslar hakkında yakalama kararı çıkarıldı. https://t.co/MTYR9yA1yk,Fri Oct 04 10:56:04 +0000 2024,3620,30184
Tweet Count,Username,Text,Created At,Retweets,Likes
10,ibrahim Haskoloğlu,"Yeni Türkiye'de gangster olarak yetiştirilen 10 yaşındaki bir çocuk. (Küfürlü)

Bunlardan en iyi ihtimalle on binlerce vardır, gördükleriniz sadece sizlere gösterebildiklerim. https://t.co/8yiX7kgtSc",Thu Oct 03 09:59:25 +0000 2024,1666,13077
Tweet Count,Username,Text,Created At,Retweets,Likes
11,ibrahim Haskoloğlu,"BÖLÜM 1: Kişisel Verilerinizin çalındığını ilk olarak yaptığım haberle öğrenmiştiniz.

Sizlere verilerinizin nasıl çalındığını, hangi verilerin çalındığını, kimlerin kullandığını ve yeni dolandırıcılık yöntemlerini kanıtlarıyla anlatacağım.

Bu anlatacaklarımı bu verileri https://t.co/onwJ4c3vqy",Tue Oct 01 15:35:37 +0000 2024,1337,9383
Tweet Count,Username,Text,Created At,Retweets,Likes
12,ibrahim Haskoloğlu,"Onlarca suça karışanları sokağa salan Türk yargısı, yapması gerekenleri bırakıp benim yaptığım bu habere jet hızıyla ERİŞİM ENGELİ getirdi. 

Ben haberlerimi tamamen halkın öğrenmesi için yapıyorum ve bu kararı sizlerle paylaşıyorum. 

Gerçekten yazık. https://t.co/sGBibaZ608",Fri Oct 04 19:16:33 +0000 2024,1723,17999
Tweet Count,Username,Text,Created At,Retweets,Likes
13,ibrahim Haskoloğlu,"Madde bağımlısı şahıs, sadece kadının kafasını kesmemiş. Vücudunu da ikiye ayırmış.

Normal şartlarda asla paylaşmazdım ama artık gelinen noktayı herkes görsün. Susmasın.

Türkiye'nin durumu kötü. Yıllardır paylaşıyorum. Bu ülkenin sistemi çürümüş. (+18)
https://t.co/xjvoV5qk1W",Fri Oct 04 14:33:33 +0000 2024,3609,23984
Tweet Count,Username,Text,Created At,Retweets,Likes
14,ibrahim Haskoloğlu,🔴#SONDAKİKA | İsrail Hava Kuvvetleri bu gece Ortadoğu'nun her yerine saldıracağını açıkladı. https://t.co/yskl9Y5988,Tue Oct 01 18:44:31 +0000 2024,434,10052
Tweet Count,Username,Text,Created At,Retweets,Likes
15,ibrahim Haskoloğlu,"Hackerlar, Sağlık Bakanlığının tüm verilerini çalmış. 

Askere gittiğimde bana yazılan ilaçların tüm verileri hackerların elinde. 

Bazı siyasilerin kullandığı kalp ilaçlarının bilgisini bile bana göndermişlerdi. 

Gelecek hafta sizlere çalınan tüm verileri açıklayacağım. https://t.co/663wCARjjW",Wed Oct 02 10:41:42 +0000 2024,2790,18796
Tweet Count,Username,Text,Created At,Retweets,Likes
16,ibrahim Haskoloğlu,"🔴#SONDAKİKA | CHP Milletvekilleri, Cumhurbaşkanı Erdoğan TBMM’ye gelince ayağa kalktılar. 

 https://t.co/TJ16exxXs9",Tue Oct 01 12:31:15 +0000 2024,151,2964
Tweet Count,Username,Text,Created At,Retweets,Likes
17,ibrahim Haskoloğlu,"Avusturya’nın başkenti Viyana’da ilkokul öğrencilerine haklarını savunmaları gerektiğinde nasıl “Protesto yürüyüşü” yapılacağı öğretiliyor.

Eğitim amaçlı olan protesto yürüyüşlerine polisler yardımcı oluyor. https://t.co/MbGR2YRmAP",Fri Sep 27 09:14:08 +0000 2024,2727,30245
Tweet Count,Username,Text,Created At,Retweets,Likes
18,ibrahim Haskoloğlu,"İstanbul, Beyoğlu'nda bir kadını duvara sıkıştırıp tecavüz etmeye çalışan iki şahıs serbest bırakıldı. (Cumhuriyet)

2 şahsın karıştığı suçlar:

• Cinsel saldırı
• Kasten yaralama
• Mukavemet
• Gasp
• Otomobil hırsızlığı",Fri Oct 04 10:03:40 +0000 2024,3271,16268
Tweet Count,Username,Text,Created At,Retweets,Likes
