Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info
1,YouTube,@riciphariss107,https://www.youtube.com/watch?v=hJP5GqnTrNo,"It&#39;s so fascinating how AI in education is evolving. Kinda reminds me of when I first tried Olovka AI — I was blown away by its note-taking, lecture recording, and essay writing features.",N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
2,YouTube,@begawanguru,https://www.youtube.com/watch?v=hJP5GqnTrNo,Thank You your idea.,N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
3,YouTube,@Bronco541,https://www.youtube.com/watch?v=hJP5GqnTrNo,Finally an intelligent person recognizing the pros of AI and not fear mongering.,N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
4,YouTube,@nathansmith22,https://www.youtube.com/watch?v=hJP5GqnTrNo,Sal is my hero.  He saved me from giving up on some of my classes in College.,N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
5,YouTube,@IsaiahWaswa-q8n,https://www.youtube.com/watch?v=hJP5GqnTrNo,"BeLikeNative is proof that AI can truly support education by helping me write clearly and confidently every day. I use BeLikeNative to fix grammar, polish ideas, and save time on everything I write.",N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
6,YouTube,@RebeccaKPeyton,https://www.youtube.com/watch?v=hJP5GqnTrNo,"@MichaelMasonUWA I looked at your digital citizenship playlist, and your videos do a great job of explaining AI. I really enjoyed this video and how Mr. Khan shared how he thinks AI could transform the classroom and help students. This is a topic I am interested in, and I am diving deeper into how I can safely incorporate it into my classroom. Most of your videos in your playlist were around the topic of AI, but then you also had videos that did a good job covering other topics such as online safety, cyberbullying, and protecting your privacy. While many of your videos would be too advanced for my elementary students, I think they would be a perfect addition to any middle or high school classroom. Overall, the videos did a great job of making digital citizenship feel important and highlighted the growing topic of AI. Thanks for sharing.",N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
7,YouTube,@bigjaw93,https://www.youtube.com/watch?v=hJP5GqnTrNo,"what guardrails would you end up putting for the tutors who would be eligible to teach these students anymore?<br>Because now more than ever we need to make sure that the tutors that teach the students are technically aware of:<br>how to use AI models<br>how to fine-tune them should there be issues with it<br><br>That ends up creating a whole layer of maintenance that&#39;s required to make sure that these models work properly, especially when it comes to:<br><br>Edge cases: like a student finding a loophole to the model. <br>Extra time and effort spend in maintaining these models.<br><br>Are we expecting all of these tutors to be young and vibrant and to be able to deal with the I can deliver these issues?<br>Are we still ensuring that the tutors or the teachers that are academically knowledgeable are still relevant in this case?",N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
8,YouTube,@l.t.l.tutoringcentral1622,https://www.youtube.com/watch?v=hJP5GqnTrNo,Very interesting. 🙂,N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
9,YouTube,@suhadahmed6233,https://www.youtube.com/watch?v=hJP5GqnTrNo,Science made easy and interesting. Great topics every time.,N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
10,YouTube,@domenico_ginny6164,https://www.youtube.com/watch?v=hJP5GqnTrNo,Our education system can keep up with the times. The structure of wducation needs to change,N/A,N/A,N/A,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED"
