Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,index,cleaned_text,segment
1,YouTube,@allindiabakchod,https://www.youtube.com/watch?v=Vev2ybF2Z6g,"<a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=38"">00:38</a> - On Nepotism<br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=147"">02:27</a> - Jagga Jasoos<br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=297"">04:57</a> - Bombay Velvet<br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=475"">07:55</a> - On Media Stories<br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=580"">09:40</a> - Cringiest Thing For Love<br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=897"">14:57</a> - Dating Actresses and Tinder<br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=920"">15:20</a> - Channa Mereya<br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=950"">15:50</a> - On Mansplaining<br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=1060"">17:40</a> - Roles of Self-Discovery<br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=1298"">21:38</a> - Script Narration and DVD <br><a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=1385"">23:05</a> - Sanjay Dutt Biopic",,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",1,href nepotism br href jagga jasoos br href bombay velvet br href media stories br href cringiest thing love br href dating actresses tinder br href channa mereya br href mansplaining br href roles self discovery br href script narration dvd br href sanjay dutt biopic,1
2,YouTube,@SahilLZesports,https://www.youtube.com/watch?v=Vev2ybF2Z6g,And now !!!animal ❤❤,,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",2,animal,1
3,YouTube,@Amar665,https://www.youtube.com/watch?v=Vev2ybF2Z6g,"Rohan Joshi, kitne baar beechmein tokega..",,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",3,rohan joshi kitne baar beechmein tokega,1
4,YouTube,@RichaLama-ui2rd,https://www.youtube.com/watch?v=Vev2ybF2Z6g,Bhai Thoda hindi mai bhi baat Karlo hum America mai nahi hai,,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",4,bhai thoda hindi mai bhi baat karlo hum america mai nahi hai,1
5,YouTube,@MayankSingh.0702,https://www.youtube.com/watch?v=Vev2ybF2Z6g,Why the guy in white dancing ?,,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",5,guy white dancing,1
6,YouTube,@anishsinai,https://www.youtube.com/watch?v=Vev2ybF2Z6g,Let him speak 😤😤😤🤬🤬🤬fuckers,,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",6,let speak fuckers,1
7,YouTube,@ashurarts7825,https://www.youtube.com/watch?v=Vev2ybF2Z6g,just to say i didn&#39;t really like a lot of bollywood films because action or romance isn&#39;t really my type and in a lot of bollywood movie action or romance usually becomes the main plot but swades and jagga jasoos are one the best i considered to be made in bollywood cinema,,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",7,say 39 really like lot bollywood films action romance 39 really type lot bollywood movie action romance usually becomes main plot swades jagga jasoos one best considered made bollywood cinema,1
8,YouTube,@amritasingharay3095,https://www.youtube.com/watch?v=Vev2ybF2Z6g,So Tanmay was this lean before????😱,,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",8,tanmay lean,1
9,YouTube,@ShivamThakur-dp4qf,https://www.youtube.com/watch?v=Vev2ybF2Z6g,"<a href=""https://www.youtube.com/watch?v=Vev2ybF2Z6g&amp;t=333"">05:33</a> Did he just touch his shoe then...his face...like what....",,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",9,href touch shoe face like,1
10,YouTube,@victorrenz4453,https://www.youtube.com/watch?v=Vev2ybF2Z6g,"Stop using the f word, you dont get why people use the word and why… All your trying to do is punch up the sentence by using the word",,,,"Video: AIB Podcast : feat. Ranbir Kapoor (Part 01), Channel: All India Bakchod",10,stop using f word dont get people use word trying punch sentence using word,1
